# photonCat                   mean_change    sigma_change    rate_change
diphotonCat 0
proc ggh
MaterialEBOuterEE_scale       0.0016     0.0072     0.0004    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 3
proc zh
EBlowR9_7TeVscale             0.0002     0.0004     0.0006    
EBhighR9_7TeVscale            0.0001     0.0013     0.0005    
EElowR9_7TeVscale             0.0003     0.0017     0.0001    
EEhighR9_7TeVscale            0.0007     0.0057     0.0007    
EBlowR9_7TeVsmear             0.0000     0.0057     0.0004    
EBhighR9_7TeVsmear            0.0000     0.0032     0.0017    
EBlowR9Phi_7TeVsmear          0.0000     0.0009     0.0004    
EBhighR9Phi_7TeVsmear         0.0000     0.0000     0.0004    
EElowR9_7TeVsmear             0.0000     0.0105     0.0005    
EEhighR9_7TeVsmear            0.0000     0.0086     0.0005    
MaterialEBCentral_scale       0.0002     0.0033     0.0007    
MaterialEBOuterEE_scale       0.0016     0.0049     0.0027    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 3
proc tth
EBlowR9_7TeVscale             0.0002     0.0046     0.0009    
EBhighR9_7TeVscale            0.0002     0.0007     0.0004    
EElowR9_7TeVscale             0.0002     0.0030     0.0002    
EEhighR9_7TeVscale            0.0003     0.0033     0.0015    
EBlowR9_7TeVsmear             0.0000     0.0049     0.0003    
EBhighR9_7TeVsmear            0.0000     0.0046     0.0011    
EBlowR9Phi_7TeVsmear          0.0000     0.0038     0.0001    
EBhighR9Phi_7TeVsmear         0.0000     0.0004     0.0001    
EElowR9_7TeVsmear             0.0001     0.0044     0.0013    
EEhighR9_7TeVsmear            0.0001     0.0075     0.0009    
MaterialEBCentral_scale       0.0002     0.0015     0.0011    
MaterialEBOuterEE_scale       0.0011     0.0088     0.0014    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000


diphotonCat 4
proc ggh
EBlowR9_7TeVscale             0.0002     0.0071     0.0014    
EBhighR9_7TeVscale            0.0004     0.0045     0.0014    
EElowR9_7TeVscale             0.0000     0.0017     0.0000    
EEhighR9_7TeVscale            0.0001     0.0008     0.0014    
EBlowR9_7TeVsmear             0.0001     0.0146     0.0027    
EBhighR9_7TeVsmear            0.0001     0.0364     0.0030    
EBlowR9Phi_7TeVsmear          0.0000     0.0101     0.0006    
EBhighR9Phi_7TeVsmear         0.0000     0.0189     0.0044    
EElowR9_7TeVsmear             0.0000     0.0041     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0011     0.0014    
MaterialEBCentral_scale       0.0004     0.0094     0.0014    
MaterialEBOuterEE_scale       0.0006     0.0102     0.0029    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 4
proc vbf
EBlowR9_7TeVscale             0.0002     0.0011     0.0002    
EBhighR9_7TeVscale            0.0003     0.0049     0.0005    
