# photonCat                   mean_change    sigma_change    rate_change
diphotonCat 0
proc ggh
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0010     0.0000    
EBlowR9_7TeVsmear             0.0000     0.0019     0.0000    
EBhighR9_7TeVsmear            0.0001     0.0555     0.0006    
EBlowR9Phi_7TeVsmear          0.0000     0.0009     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0153     0.0005    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0004     0.0100     0.0005    
MaterialEBOuterEE_scale       0.0004     0.0045     0.0001    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 4
proc tth
EBlowR9_7TeVscale             0.0000     0.0000     0.0000    
EBhighR9_7TeVscale            0.0005     0.0275     0.0000    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0000     0.0029     0.0000    
EBhighR9_7TeVsmear            0.0001     0.0824     0.0024    
EBlowR9Phi_7TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0277     0.0024    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0004     0.0112     0.0000    
MaterialEBOuterEE_scale       0.0005     0.0199     0.0000    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000


diphotonCat 5
proc ggh
EBlowR9_7TeVscale             0.0004     0.0025     0.0002    
EBhighR9_7TeVscale            0.0002     0.0022     0.0001    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0000     0.0189     0.0003    
EBhighR9_7TeVsmear            0.0000     0.0111     0.0000    
EBlowR9Phi_7TeVsmear          0.0000     0.0065     0.0001    
EBhighR9Phi_7TeVsmear         0.0000     0.0022     0.0001    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0003     0.0021     0.0003    
MaterialEBOuterEE_scale       0.0004     0.0032     0.0002    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 5
proc vbf
EBlowR9_7TeVscale             0.0004     0.0046     0.0010    
EBhighR9_7TeVscale            0.0002     0.0010     0.0004    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0001     0.0186     0.0003    
EBhighR9_7TeVsmear            0.0001     0.0052     0.0007    
EBlowR9Phi_7TeVsmear          0.0000     0.0076     0.0002    
EBhighR9Phi_7TeVsmear         0.0000     0.0001     0.0001    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0003     0.0037     0.0002    
MaterialEBOuterEE_scale       0.0004     0.0073     0.0011    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 5
proc wh
EBlowR9_7TeVscale             0.0004     0.0072     0.0009    
EBhighR9_7TeVscale            0.0002     0.0029     0.0007    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0000     0.0198     0.0010    
EBhighR9_7TeVsmear            0.0000     0.0079     0.0006    
EBlowR9Phi_7TeVsmear          0.0001     0.0065     0.0006    
EBhighR9Phi_7TeVsmear         0.0000     0.0005     0.0000    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
